"Date","Name","Open","High","Low","Close"
"2020-06-05","EUR to HUF","346.40000","346.86000","343.07000","343.47000"
"2020-05-29","EUR to HUF","349.92000","351.14000","346.03000","346.51000"
"2020-05-22","EUR to HUF","354.53000","354.63000","347.33000","349.77000"
"2020-05-15","EUR to HUF","348.92100","354.86000","348.68000","354.15000"
"2020-05-08","EUR to HUF","353.37000","354.63000","347.75000","348.68000"
"2020-05-01","EUR to HUF","355.41000","358.71100","350.67000","353.20000"
"2020-04-24","EUR to HUF","352.29000","358.40300","351.67000","355.51000"
"2020-04-17","EUR to HUF","352.82000","354.33000","348.92000","352.79000"
"2020-04-10","EUR to HUF","365.50000","366.12000","351.87700","353.14000"
"2020-04-03","EUR to HUF","356.71000","369.50000","355.67000","365.98000"
"2020-03-27","EUR to HUF","349.47000","358.13000","349.02000","356.33000"
"2020-03-20","EUR to HUF","337.99000","359.26000","337.86000","348.80000"
"2020-03-13","EUR to HUF","335.59000","340.35400","333.95000","338.48000"
"2020-03-06","EUR to HUF","338.06000","338.93000","334.04900","335.09000"
"2020-02-28","EUR to HUF","336.83400","340.52000","336.52000","337.89000"
"2020-02-21","EUR to HUF","335.62000","338.42000","333.89000","336.58000"
"2020-02-14","EUR to HUF","338.44000","340.30000","334.55000","335.08000"
"2020-02-07","EUR to HUF","336.89000","339.21000","335.32000","337.82000"
"2020-01-31","EUR to HUF","335.68000","338.69000","335.65000","336.84000"
"2020-01-24","EUR to HUF","335.88000","337.49000","333.64000","336.00000"
"2020-01-17","EUR to HUF","333.58000","336.31000","331.69000","335.95000"
"2020-01-10","EUR to HUF","329.46000","334.02000","328.98000","333.78000"
"2020-01-03","EUR to HUF","330.82000","331.77000","328.41000","329.36000"
"2019-12-27","EUR to HUF","330.08000","332.80000","329.92000","330.06000"
"2019-12-20","EUR to HUF","329.05000","331.43000","327.94000","330.12000"
"2019-12-13","EUR to HUF","330.72000","331.96000","328.30000","329.29000"
"2019-12-06","EUR to HUF","334.30000","334.69000","329.86000","330.84000"
"2019-11-29","EUR to HUF","334.00000","337.03000","332.99000","334.48000"
"2019-11-22","EUR to HUF","334.32000","335.64000","332.24000","334.20000"
"2019-11-15","EUR to HUF","333.27000","334.94000","333.07000","334.37000"
"2019-11-08","EUR to HUF","327.72000","334.03000","327.44000","333.39000"
"2019-11-01","EUR to HUF","328.43900","330.22000","327.41000","327.43000"
"2019-10-25","EUR to HUF","330.48000","331.04000","327.57000","328.43000"
"2019-10-18","EUR to HUF","331.73000","333.59000","329.66000","329.66000"
"2019-10-11","EUR to HUF","332.04000","334.66000","330.65000","331.47000"
"2019-10-04","EUR to HUF","335.13000","335.75000","331.63000","332.43000"
"2019-09-27","EUR to HUF","333.45000","336.24000","333.00000","334.98000"
"2019-09-20","EUR to HUF","331.30000","334.28000","331.01000","333.45000"
"2019-09-13","EUR to HUF","329.59000","333.39000","329.38000","330.99000"
"2019-09-06","EUR to HUF","330.98000","331.51000","328.06000","329.62000"
"2019-08-30","EUR to HUF","328.90000","331.80000","328.19000","331.01000"
"2019-08-23","EUR to HUF","324.20000","329.43000","324.10000","329.02000"
"2019-08-16","EUR to HUF","324.46000","326.39000","322.93000","324.16000"
"2019-08-09","EUR to HUF","327.07000","327.76000","323.71000","324.13000"
"2019-08-02","EUR to HUF","326.52000","327.94000","325.29000","327.02000"
"2019-07-26","EUR to HUF","325.05000","327.00000","324.45000","326.48000"
"2019-07-19","EUR to HUF","325.26000","326.77000","324.35000","324.63000"
"2019-07-12","EUR to HUF","323.69000","326.10000","323.49000","325.62000"
"2019-07-05","EUR to HUF","322.82000","324.42000","321.78000","323.71000"
"2019-06-28","EUR to HUF","324.01000","324.52000","322.33000","322.70000"
"2019-06-21","EUR to HUF","321.98000","324.31000","321.69000","323.94000"
"2019-06-14","EUR to HUF","319.81000","322.40000","319.43000","322.14000"
